Book,huff,digr256,digr512,digr1024,Z,
booksconcatenated.txt,0.5499515310635049,0.5545772141999273,0.5641491495126106,0.6107480006330941,3.049594056363992,
COSC351Book1.txt,0.5657219171893442,0.5704221248977702,0.5776051331344205,0.6176176035712793,2.903426716202691,
COSC351Book10.txt,0.543355174633859,0.5524480848450944,0.5652599191998768,0.6174158856153603,2.9545718603061535,
COSC351Book11.txt,0.5641217881701333,0.5696969907822157,0.5756322766831284,0.6185308949722284,3.4189560367876397,
COSC351Book12.txt,0.5595784452540596,0.5694011439008926,0.5711324356021905,0.6188398703009557,3.4355726239089086,
COSC351Book2.txt,0.5929575800543543,0.5761609358383551,0.5815136476426799,0.6070955925794635,3.4200106345267636,
COSC351Book3.txt,0.5487097668178392,0.549918024931817,0.5583343909368986,0.6058112941700575,2.9163219742393673,
COSC351Book4.txt,0.5424126890383083,0.5424966332993191,0.5503073193442107,0.5989601627923314,3.151651856358867,
COSC351Book5.txt,0.554748506773626,0.5560283193715383,0.5595407683968036,0.6013645080494182,3.35591655353838,
COSC351Book6.txt,0.5301986520787181,0.5424842247353566,0.5627212089310281,0.6173646588861403,2.6011550496993494,
COSC351Book7.txt,0.5738221286123603,0.5791967894347356,0.580686324737671,0.6205290222196922,3.5167193222139996,
COSC351Book8.txt,0.5426789460510459,0.5413035793080847,0.549522234235536,0.597033026864809,3.153826899902718,
COSC351Book9.txt,0.5449050425473428,0.5555048739891797,0.5648148427847742,0.6178442075500766,3.1402385792782206,
