Book,huff,digr256,digr512,digr1024,Z,
booksconcatenated.txt,10.251948118209839,87.05531549453735,77.9936134815216,75.97897529602051,1262.493081331253,
COSC351Book1.txt,2.5899908542633057,21.66135025024414,19.53833246231079,18.801333904266357,117.16883516311646,
COSC351Book10.txt,0.5307886600494385,4.083143949508667,3.6405084133148193,3.5387184619903564,107.85378098487854,
COSC351Book11.txt,0.5096049308776855,4.014462232589722,3.570072889328003,3.3638594150543213,107.155348777771,
COSC351Book12.txt,0.32161450386047363,2.1496002674102783,1.92311692237854,1.8394410610198975,55.37647366523743,
COSC351Book2.txt,0.2443540096282959,1.2380650043487549,1.166780710220337,1.0579464435577393,21.24910831451416,
COSC351Book3.txt,0.6709094047546387,4.929800748825073,4.537890195846558,4.420445203781128,58.07333517074585,
COSC351Book4.txt,2.579921245574951,20.988953828811646,19.125835180282593,18.947627067565918,532.0305218696594,
COSC351Book5.txt,0.6230759620666504,5.02571964263916,4.472517013549805,4.2620415687561035,124.94909143447876,
COSC351Book6.txt,1.891481637954712,15.689961433410645,14.26557445526123,14.13714337348938,64.85204100608826,
COSC351Book7.txt,0.42507290840148926,3.0618529319763184,2.6130754947662354,2.491527557373047,70.19661498069763,
COSC351Book8.txt,0.37050747871398926,2.544156551361084,2.3442718982696533,2.2677080631256104,61.19893145561218,
COSC351Book9.txt,0.3317265510559082,2.295642137527466,2.0516254901885986,2.0040531158447266,60.03172707557678,
