Book,huff,digr256,digr512,digr1024,
COSC351Book9.txt,0.0859367847442627,0.31355977058410645,1.4278149604797363,0.8334550857543945,
COSC351Book8.txt,0.09150528907775879,0.35527682304382324,1.62434720993042,1.000378131866455,
COSC351Book1.txt,0.5428690910339355,2.8591220378875732,14.23873496055603,8.9757719039917,
COSC351Book3.txt,0.15316987037658691,0.6733787059783936,3.5258922576904297,2.0942447185516357,
COSC351Book2.txt,0.05937504768371582,0.1811368465423584,0.7948379516601562,0.5496382713317871,
COSC351Book11.txt,0.12634921073913574,0.5329649448394775,2.724544048309326,1.6667611598968506,
COSC351Book6.txt,0.41573500633239746,2.0537869930267334,10.707803964614868,7.332919597625732,
COSC351Book7.txt,0.09829092025756836,0.4084649085998535,2.06455397605896,1.330777883529663,
COSC351Book10.txt,0.12462472915649414,0.539323091506958,2.5476531982421875,1.4150819778442383,
COSC351Book12.txt,0.08008098602294922,0.2934541702270508,1.4012079238891602,0.8990399837493896,
COSC351Book5.txt,0.14870285987854004,0.677807092666626,3.357306957244873,1.9938991069793701,
COSC351Book4.txt,0.5506496429443359,2.8563780784606934,16.34604501724243,9.383393049240112,
