110011100	pe
110011101	pi
110011110	pl
110011111	po
110100000	pp
110100001	pr
110100010	ps
110100011	pt
110100100	pu
110100101	qu
110100110	r 
110100111	r,
110101000	r.
110101001	ra
110101010	rc
110101011	rd
110101100	re
110101101	rg
110101110	ri
110101111	rk
110110000	rl
110110001	rm
110110010	rn
110110011	rnewline
110110100	ro
110110101	rr
110110110	rs
110110111	rt
110111000	ru
110111001	rv
110111010	ry
110111011	s 
110111100	s,
110111101	s.
110111110	sa
110111111	sc
111000000	se
111000001	sh
111000010	si
111000011	sk
111000100	sl
111000101	sm
111000110	snewline
111000111	so
111001000	sp
111001001	ss
111001010	st
111001011	su
111001100	t 
111001101	t,
111001110	t.
111001111	ta
111010000	te
111010001	th
111010010	ti
111010011	tl
111010100	tnewline
111010101	to
111010110	tr
111010111	ts
111011000	tt
111011001	tu
111011010	tw
111011011	ty
111011100	u 
111011101	ua
111011110	ub
111011111	uc
111100000	ud
111100001	ue
111100010	ug
111100011	ui
111100100	ul
111100101	um
111100110	un
111100111	up
111101000	ur
111101001	us
111101010	ut
111101011	va
111101100	ve
111101101	vi
111101110	vo
111101111	w 
111110000	wa
111110001	we
111110010	wh
111110011	wi
111110100	wn
111110101	wo
111110110	ws
111110111	xp
111111000	y 
111111001	y,
111111010	y.
111111011	ye
111111100	ynewline
111111101	yo
111111110	ys
111111111	ze
